order_id;product_name;fournisseur;order_date;quantity;unit_price;total_price
1;Laptop Gaming ROG;DataStore;01/01/2024;17.0;339.33;5768.54
2;SSD 1TB NVMe;KeyboardPro;01/01/2024;18.0;1849.06;33283.07
3;"Moniteur 27"" 4K";TechSolutions;01/01/2024;14.0;816.77;11434.85
4;Clavier mecanique;KeyboardPro;01/01/2024;29.0;956.01;27724.16
5;Souris Gaming RGB;DisplayWorld;01/01/2024;40.0;517.65;20705.95
6;Carte graphique RTX 3080;DisplayWorld;01/01/2024;21.0;1143.7;24017.64
7;RAM 16GB DDR4;TechSolutions;01/01/2024;51.0;252.18;12861.26
8;Disque dur externe 2TB;TechSolutions;01/01/2024;24.0;176.52;4236.41
9;Casque audio gaming;DisplayWorld;01/01/2024;21.0;435.13;9137.73
10;Imprimante laser couleur;DisplayWorld;01/01/2024;36.0;865.16;31145.79
11;Webcam HD 1080p;TechSolutions;01/01/2024;29.0;440.28;12768.08
12;Enceintes Bluetooth;DisplayWorld;01/01/2024;28.0;390.08;10922.25
13;Station d'accueil USB-C;MouseMaster;01/01/2024;41.0;1453.07;59575.8
14;Powerbank 20000mAh;TechSolutions;01/01/2024;;818.22;
15;Routeur Wi-Fi 6;TechSolutions;01/01/2024;25.0;;
16;Switch Ethernet 24 ports;TechSolutions;01/01/2024;17.0;600.62;10210.51
17;Microphone cardioide;DisplayWorld;01/01/2024;;560.2;
18;Disque SSD portable 1TB;DataStore;01/01/2024;;1265.24;
19;Ventilateur CPU RGB;DataStore;01/01/2024;23.0;;
20;Boitier PC ATX;DisplayWorld;01/01/2024;29.0;801.19;23234.61
21;Alimentation 750W;KeyboardPro;01/01/2024;34.0;679.39;23099.4
22;Kit de refroidissement liquide;DataStore;01/01/2024;15.0;870.99;13064.85
23;Cle USB 128GB;KeyboardPro;01/01/2024;;127.65;
24;Hub USB 4 ports;MouseMaster;01/01/2024;46.0;691.57;31812.36
25;Adaptateur HDMI 4K;DisplayWorld;01/01/2024;29.0;1441.21;41795.02
26;"Ecran tactile 15""";TechSolutions;01/01/2024;;922.78;
27;Projecteur portable;DataStore;01/01/2024;35.0;1620.86;56730.12
