order_id;product_name;fournisseur_EVOLLIS;order_date;quantity;unit_price_EVOLLIS;total_price_EVOLLIS;fournisseur_HYBRIS;unit_price_HYBRIS;total_price_HYBRIS;expected_price_evollis;expected_price_hybris;gap_evollis;gap_hybris;is_incoherent;p_origin_evollis;p_origin_hybris;predicted_origin
58;Disque SSD PCIe NVMe;DisplayWorld;01/01/2024;20.0;1062.56;21251.14;TechSolutions;1551.37;31027.37;21251.199999999997;31027.399999999998;0.059999999997671694;0.029999999998835847;1;0.9959032;0.004096794;EVOLLIS
70;Disque dur interne 1TB;DisplayWorld;01/01/2024;25.0;853.79;21344.86;DataStore;833.13;20828.29;21344.75;20828.25;0.11000000000058208;0.040000000000873115;1;0.99958044;0.0004195725;EVOLLIS
123;Support pour laptop;TechSolutions;16/01/2024;47.0;951.72;44730.78;DisplayWorld;1787.52;84013.67;44730.840000000004;84013.44;0.06000000000494765;0.22999999999592546;1;0.006993056;0.99300694;HYBRIS
129;Enceintes de bureau;MouseMaster;16/01/2024;25.0;;;DisplayWorld;1790.0;44749.98;;44750.0;;0.01999999999679858;1;0.013524506;0.9864755;HYBRIS
241;Support pour moniteur;DisplayWorld;31/01/2024;20.0;1111.47;22229.35;MouseMaster;1859.79;37195.79;22229.4;37195.8;0.05000000000291038;0.010000000002037268;1;0.99905485;0.0009451863;EVOLLIS
368;Enceintes Bluetooth;TechSolutions;01/03/2024;38.0;933.62;35477.54;MouseMaster;443.64;16858.19;35477.56;16858.32;0.01999999999679858;0.13000000000101863;1;0.0012401864;0.99875987;HYBRIS
436;Microphone de streaming;MouseMaster;01/03/2024;14.0;409.16;5728.19;MouseMaster;830.33;11624.62;5728.240000000001;11624.62;0.050000000001091394;0.0;1;0.9836165;0.016383456;EVOLLIS
441;Disque SSD M.2 1TB;MouseMaster;01/03/2024;13.0;1467.47;19077.14;MouseMaster;556.56;7235.22;19077.11;7235.279999999999;0.029999999998835847;0.05999999999858119;1;0.037721474;0.9622785;HYBRIS
450;Souris Gaming RGB;DisplayWorld;16/03/2024;32.0;1217.12;38947.72;MouseMaster;1298.63;41556.15;38947.84;41556.16;0.11999999999534339;0.010000000002037268;1;0.9997454;0.0002546109;EVOLLIS
479;Support pour laptop;TechSolutions;16/03/2024;20.0;1924.23;38484.68;KeyboardPro;1306.78;26135.52;38484.6;26135.6;0.08000000000174623;0.07999999999810825;1;0.977216;0.022783985;EVOLLIS
533;Cle de securite biometrie;DisplayWorld;16/03/2024;26.0;2387.83;62083.58;KeyboardPro;897.45;23333.79;62083.58;23333.7;0.0;0.09000000000014552;1;0.005674057;0.99432594;HYBRIS
615;"Ecran 27"" IPS";DataStore;31/03/2024;22.0;866.83;19070.31;MouseMaster;1442.6;31737.18;19070.260000000002;31737.199999999997;0.049999999999272404;0.01999999999679858;1;0.9942419;0.005758073;EVOLLIS
668;Ventilateur PC RGB;MouseMaster;15/04/2024;23.0;;;DisplayWorld;1161.78;26721.04;;26720.94;;0.10000000000218279;1;0.00023360067;0.9997664;HYBRIS
811;Imprimante laser couleur;TechSolutions;15/05/2024;32.0;914.5;29263.94;DisplayWorld;1243.2;39782.54;29264.0;39782.4;0.06000000000130967;0.13999999999941792;1;0.0013518609;0.9986481;HYBRIS
953;Support pour moniteur;KeyboardPro;30/05/2024;47.0;1913.99;89957.3;DataStore;1126.76;52957.95;89957.53;52957.72;0.22999999999592546;0.22999999999592546;1;0.8980704;0.10192956;EVOLLIS
977;Disque dur interne 6TB;MouseMaster;30/05/2024;33.0;1277.09;42143.83;KeyboardPro;726.89;23987.48;42143.969999999994;23987.37;0.13999999999214197;0.11000000000058208;1;0.98816305;0.011836986;EVOLLIS
1104;Disque dur NAS 8TB;KeyboardPro;29/06/2024;12.0;2045.27;24543.2;MouseMaster;558.02;6696.27;24543.239999999998;6696.24;0.039999999997235136;0.030000000000654836;1;0.982608;0.017391954;EVOLLIS
1141;"Ecran portable 13""";MouseMaster;29/06/2024;40.0;1051.52;42060.8;KeyboardPro;1967.86;78714.49;42060.8;78714.4;0.0;0.09000000001105946;1;0.0026971959;0.9973028;HYBRIS
1198;Station meteo connectee;KeyboardPro;14/07/2024;35.0;1625.27;56884.49;MouseMaster;1003.54;35123.94;56884.45;35123.9;0.040000000000873115;0.040000000000873115;1;0.9850375;0.014962476;EVOLLIS
1306;Cable d’alimentation secteur;MouseMaster;29/07/2024;12.0;1384.23;16610.76;DataStore;2170.86;26050.28;16610.760000000002;26050.32;3.637978807091713e-12;0.040000000000873115;1;0.02860773;0.97139233;HYBRIS
1440;Switch Ethernet 24 ports;DisplayWorld;28/08/2024;30.0;193.34;5800.11;KeyboardPro;1004.6;30137.88;5800.2;30138.0;0.09000000000014552;0.11999999999898137;1;0.0037619881;0.996238;HYBRIS
1542;"Disque dur interne 3.5""";KeyboardPro;12/09/2024;17.0;784.59;13337.96;TechSolutions;842.39;14320.67;13338.03;14320.63;0.07000000000152795;0.040000000000873115;1;0.99344265;0.006557343;EVOLLIS
1555;Cle de securite USB;DataStore;12/09/2024;16.0;;;MouseMaster;750.99;12015.8;;12015.84;;0.040000000000873115;1;0.0055263657;0.99447364;HYBRIS
1569;Camera de conference;DisplayWorld;12/09/2024;45.0;;;TechSolutions;1716.11;77224.85;;77224.95;;0.09999999999126885;1;0.0004777325;0.9995223;HYBRIS
1575;Cle de cryptage USB;TechSolutions;12/09/2024;48.0;357.05;17138.23;KeyboardPro;1139.07;54675.24;17138.4;54675.36;0.17000000000189175;0.12000000000261934;1;0.9071286;0.092871465;EVOLLIS
1639;Clavier retroeclaire;KeyboardPro;27/09/2024;16.0;258.01;4128.23;KeyboardPro;360.7;5771.27;4128.16;5771.2;0.06999999999970896;0.07000000000061846;1;0.023880947;0.97611904;HYBRIS
1654;"Disque dur interne 2.5""";DataStore;27/09/2024;19.0;447.35;8499.61;KeyboardPro;1525.59;28986.16;8499.65;28986.21;0.039999999999054126;0.049999999999272404;1;0.038686167;0.96131384;HYBRIS
1664;Cle de cryptage USB;DataStore;27/09/2024;35.0;431.89;15116.18;DisplayWorld;1586.09;55513.23;15116.15;55513.149999999994;0.030000000000654836;0.08000000000902219;1;0.004774028;0.9952259;HYBRIS
1691;Support pour laptop avec refroidissement;MouseMaster;27/09/2024;22.0;516.53;11363.71;DataStore;622.03;13684.71;11363.66;13684.66;0.049999999999272404;0.049999999999272404;1;0.93919986;0.06080016;EVOLLIS
1767;Adaptateur Ethernet USB;MouseMaster;12/10/2024;41.0;441.04;18082.53;KeyboardPro;508.39;20844.02;18082.64;20843.989999999998;0.11000000000058208;0.030000000002473826;1;0.9988506;0.0011493454;EVOLLIS
1795;Routeur Wi-Fi 6;KeyboardPro;27/10/2024;32.0;1268.46;40590.66;MouseMaster;487.44;15597.95;40590.72;15598.08;0.059999999997671694;0.12999999999919964;1;0.0041097444;0.9958903;HYBRIS
1796;Switch Ethernet 24 ports;DisplayWorld;27/10/2024;21.0;819.98;17219.63;KeyboardPro;1162.98;24422.66;17219.58;24422.58;0.049999999999272404;0.07999999999810825;1;0.04919811;0.95080197;HYBRIS
1810;Carte mere Z490;DataStore;27/10/2024;33.0;1621.06;53495.03;MouseMaster;458.89;15143.24;53494.979999999996;15143.369999999999;0.05000000000291038;0.12999999999919964;1;0.005123272;0.9948768;HYBRIS
1825;Ventilateur PC RGB;TechSolutions;27/10/2024;29.0;;;MouseMaster;324.16;9400.68;;9400.640000000001;;0.039999999999054126;1;0.0033774436;0.99662256;HYBRIS
1864;Cable HDMI 2.0;DataStore;27/10/2024;39.0;;;DisplayWorld;1471.4;57384.65;;57384.600000000006;;0.049999999995634425;1;0.0014826221;0.99851733;HYBRIS
1942;"Ecran portable 13""";MouseMaster;11/11/2024;26.0;1911.98;49711.6;KeyboardPro;892.32;23200.23;49711.48;23200.32;0.11999999999534339;0.09000000000014552;1;0.98873967;0.011260306;EVOLLIS
2119;Souris optique gaming;DisplayWorld;11/12/2024;35.0;1125.02;39375.76;DataStore;217.66;7618.13;39375.7;7618.099999999999;0.06000000000494765;0.030000000000654836;1;0.99746335;0.0025366612;EVOLLIS
2135;Cle de securite biometrie;MouseMaster;11/12/2024;44.0;;;DisplayWorld;1388.54;61095.68;;61095.759999999995;;0.07999999999447027;1;0.00046203617;0.99953794;HYBRIS
2279;Souris gamer sans fil;DisplayWorld;10/01/2025;37.0;336.41;12447.15;MouseMaster;273.33;10113.38;12447.17;10113.21;0.020000000000436557;0.17000000000007276;1;0.00059273257;0.9994073;HYBRIS
2321;RAM 16GB DDR4;TechSolutions;25/01/2025;26.0;401.54;10440.14;DisplayWorld;212.65;5528.82;10440.04;5528.900000000001;0.09999999999854481;0.08000000000083674;1;0.9509063;0.049093734;EVOLLIS
2323;Casque audio gaming;KeyboardPro;25/01/2025;35.0;1928.23;67487.99;DataStore;160.83;5628.92;67488.05;5629.05;0.059999999997671694;0.13000000000010914;1;0.0049834237;0.99501663;HYBRIS
2336;Kit de refroidissement liquide;MouseMaster;25/01/2025;23.0;1526.09;35099.97;DataStore;74.2;1706.53;35100.07;1706.6000000000001;0.09999999999854481;0.07000000000016371;1;0.98968947;0.010310524;EVOLLIS
2372;Disque SSD PCIe NVMe;KeyboardPro;25/01/2025;17.0;372.57;6333.68;KeyboardPro;188.85;3210.48;6333.69;3210.45;0.009999999999308784;0.03000000000020009;1;0.02243941;0.97756064;HYBRIS
2381;Disque SSD portable 512GB;TechSolutions;25/01/2025;29.0;;;TechSolutions;1249.38;36232.09;;36232.020000000004;;0.069999999992433;1;0.00038892904;0.9996111;HYBRIS
2476;"Ecran portable 13""";TechSolutions;09/02/2025;19.0;;;MouseMaster;181.8;3454.15;;3454.2000000000003;;0.0500000000001819;1;0.0025237338;0.9974763;HYBRIS
